"","NMFS_DNA_ID","BOX_ID","BOX_POSITION","SAMPLE_ID","Pop","LENGTH","gender","COLLECTION_DATE","ESTIMATED_DATE","PICKER","PICK_DATE","TRIB_1","TRIB_2","WATER_NAME","REACH_SITE","HATCHERY","LOCATION_COMMENTS_F","Sample_ID","R04944","R04944.1","Omy_AldA","Omy_AldA.1","SexID","SexID.1","SH95489.423","SH95489.423.1","SH100771.63","SH100771.63.1","SH102510.682","SH102510.682.1","SH105115.367","SH105115.367.1","SH108735.311","SH108735.311.1","SH110201.359","SH110201.359.1","SH113128.73","SH113128.73.1","SH117286.374","SH117286.374.1","SH119892.365","SH119892.365.1","SH127645.308","SH127645.308.1","OMGH1PROM1.SNP1","OMGH1PROM1.SNP1.1","Omy_arp.630","Omy_arp.630.1","SH96222.125","SH96222.125.1","SH100974.386","SH100974.386.1","SH102867.443","SH102867.443.1","SH105385.406","SH105385.406.1","SH109243.222","SH109243.222.1","SH110362.585","SH110362.585.1","SH114315.438","SH114315.438.1","SH117370.400","SH117370.400.1","SH120255.332","SH120255.332.1","SH128851.273","SH128851.273.1","Omy_aspAT.123","Omy_aspAT.123.1","Omy_g12.82","Omy_g12.82.1","SH97077.73","SH97077.73.1","SH101554.306","SH101554.306.1","SH103350.395","SH103350.395.1","SH105386.347","SH105386.347.1","SH109525.403","SH109525.403.1","SH110689.148","SH110689.148.1","SH114448.87","SH114448.87.1","SH117540.259","SH117540.259.1","SH120950.569","SH120950.569.1","SH128996.481","SH128996.481.1","Omy_COX1.221","Omy_COX1.221.1","Omy_gh.475","Omy_gh.475.1","SH97954.618","SH97954.618.1","SH101770.410","SH101770.410.1","SH103577.379","SH103577.379.1","SH105714.265","SH105714.265.1","SH109651.445","SH109651.445.1","SH111666.301","SH111666.301.1","SH114587.480","SH114587.480.1","SH117815.81","SH117815.81.1","SH121006.131","SH121006.131.1","SH129870.756","SH129870.756.1","Omy_nramp.146","Omy_nramp.146.1","Omy_gsdf.291","Omy_gsdf.291.1","SH98188.405","SH98188.405.1","SH101832.195","SH101832.195.1","SH103705.558","SH103705.558.1","SH106172.332","SH106172.332.1","SH109693.461","SH109693.461.1","SH112208.328","SH112208.328.1","SH114976.223","SH114976.223.1","SH118175.396","SH118175.396.1","SH123044.128","SH123044.128.1","SH130524.160","SH130524.160.1","Omy_Ogo4.304","Omy_Ogo4.304.1","Omy_mapK3.103","Omy_mapK3.103.1","SH98409.549","SH98409.549.1","SH101993.189","SH101993.189.1","SH104519.624","SH104519.624.1","SH106313.445","SH106313.445.1","SH109874.148","SH109874.148.1","SH112301.202","SH112301.202.1","SH115987.812","SH115987.812.1","SH118654.91","SH118654.91.1","SH125998.61","SH125998.61.1","SH130720.100","SH130720.100.1","OMY_PEPA.INT6","OMY_PEPA.INT6.1","Omy_mcsf.371","Omy_mcsf.371.1","SH98683.165","SH98683.165.1","SH102420.634","SH102420.634.1","SH105075.162","SH105075.162.1","SH107074.217","SH107074.217.1","SH110064.419","SH110064.419.1","SH112820.82","SH112820.82.1","SH116733.349","SH116733.349.1","SH118938.341","SH118938.341.1","SH127236.583","SH127236.583.1","SH131460.646","SH131460.646.1","ONMYCRBF_1.SNP1","ONMYCRBF_1.SNP1.1","SH95318.147","SH95318.147.1","SH99300.202","SH99300.202.1","SH102505.102","SH102505.102.1","SH105105.448","SH105105.448.1","SH107285.69","SH107285.69.1","SH110078.294","SH110078.294.1","SH113109.205","SH113109.205.1","SH117259.96","SH117259.96.1","SH119108.357","SH119108.357.1","SH127510.920","SH127510.920.1","SH131965.120","SH131965.120.1"
"117","M074085","M748","3H","AB071014DC015","DC",102,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074085_M748_3H",4,4,3,3,7,6,3,1,0,0,0,0,0,0,1,1,0,0,2,3,1,1,2,2,4,4,1,4,1,1,0,0,1,1,2,2,3,1,3,4,2,2,2,1,2,4,0,0,0,0,3,1,2,4,4,1,1,1,0,0,3,3,4,4,3,4,1,1,0,0,2,1,2,2,4,4,0,0,3,3,3,3,1,1,0,0,3,3,4,1,1,1,1,3,2,2,1,3,3,3,0,0,3,3,3,3,3,3,0,0,0,0,1,1,1,1,1,1,3,3,2,2,3,3,1,1,4,4,4,4,1,1,2,1,4,4,2,1,1,3,2,4,2,2,1,1,1,1,0,0,0,0,2,1,2,2,0,0,1,1,0,0,1,3,1,4,3,3,1,1,1,3,3,3,4,4,0,0,1,3,0,0,2,2,2,2,3,3,3,3,0,0,1,1
"118","M074086","M748","4A","AB071014DC017","DC",165,12,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074086_M748_4A",4,4,3,3,6,6,1,1,4,1,2,1,2,2,1,1,2,1,3,3,1,1,2,1,1,1,1,1,3,3,3,1,3,1,2,2,0,0,4,4,4,2,1,1,2,2,4,4,1,1,1,1,4,4,4,4,3,1,4,4,3,3,4,4,4,4,1,1,1,1,2,2,2,1,4,4,4,4,3,3,3,3,1,1,1,3,3,3,4,4,1,1,3,3,2,2,1,3,1,3,3,3,3,1,4,4,3,3,2,2,4,1,3,1,1,1,1,1,3,3,2,2,1,1,1,1,4,4,1,1,1,1,2,2,4,4,2,1,3,3,2,4,2,2,1,3,1,1,4,2,3,3,2,1,2,2,2,2,1,1,4,2,1,1,1,1,3,3,1,1,1,1,3,3,4,4,2,4,3,3,3,3,2,4,1,1,3,3,3,3,3,3,3,3
"119","M074087","M748","4B","AB071014DC018","DC",121,12,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074087_M748_4B",4,4,3,3,6,6,1,1,4,4,2,1,2,3,1,3,2,2,3,3,1,1,2,2,4,4,1,1,1,3,1,1,1,1,2,1,1,1,4,4,2,2,2,1,4,4,4,4,1,1,0,0,4,4,4,4,1,1,4,4,3,3,4,4,3,3,1,1,1,1,2,2,2,1,4,1,4,2,3,3,3,3,1,1,1,3,3,3,4,4,1,1,1,1,2,2,1,3,1,3,3,1,3,1,3,3,3,1,2,2,4,4,1,1,1,1,1,1,3,3,2,2,3,1,1,1,4,4,4,4,1,1,2,1,4,4,2,1,3,3,2,4,2,2,1,1,1,1,4,2,3,3,2,1,2,2,2,4,1,1,4,2,1,3,1,1,3,3,1,1,1,1,3,3,4,4,2,4,3,3,3,3,4,4,2,1,3,3,3,3,1,1,0,0
"120","M074088","M748","4C","AB071014DC019","DC",114,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074088_M748_4C",4,4,3,3,7,6,3,1,4,4,2,2,2,3,1,1,2,1,3,3,1,1,2,2,4,4,1,4,1,1,3,1,1,1,2,1,3,1,4,4,2,2,2,1,2,4,4,4,1,1,3,1,4,4,4,1,1,1,4,4,3,3,4,4,3,4,1,1,1,1,2,2,2,2,4,1,4,2,3,3,3,1,1,1,1,1,3,3,4,4,1,1,1,3,2,2,1,3,3,3,1,1,3,1,3,3,3,1,2,2,4,4,1,1,1,1,1,1,3,3,2,2,3,3,1,1,2,4,4,4,1,1,2,1,4,4,2,1,1,3,2,4,2,2,1,3,1,1,4,4,3,4,1,1,2,2,2,2,1,1,2,2,1,1,1,1,3,3,1,1,1,3,3,3,4,4,2,4,1,3,3,3,2,4,2,2,3,3,3,3,1,1,3,3
"121","M074089","M748","4D","AB071014DC020","DC",121,12,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074089_M748_4D",4,4,3,3,6,6,3,3,4,1,2,2,2,2,1,3,2,2,3,3,1,1,2,2,1,4,1,4,1,3,3,1,1,1,2,2,1,1,3,3,2,2,2,2,2,4,1,4,1,1,1,1,4,4,4,1,1,1,4,4,3,3,2,4,4,4,1,1,1,1,2,2,2,2,4,1,4,4,3,3,3,1,1,1,3,3,3,3,4,1,1,1,3,3,2,2,1,1,3,3,3,1,3,1,3,4,3,1,2,2,4,4,1,1,1,1,1,1,3,3,2,2,3,3,1,1,2,4,1,4,3,1,2,2,4,4,1,1,1,3,2,2,2,2,1,1,1,1,4,2,3,4,2,1,2,1,2,2,1,1,4,2,1,3,1,1,3,3,1,1,1,1,3,3,4,4,2,4,1,3,3,3,4,4,2,1,3,3,3,3,1,3,3,3
"122","M074090","M748","4E","AB071014DC021","DC",152,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074090_M748_4E",4,4,3,3,7,6,1,1,4,4,2,2,2,2,1,1,1,1,3,3,1,1,2,2,4,4,1,4,1,3,3,3,1,1,2,2,1,1,4,4,2,2,2,1,2,4,4,4,1,1,1,1,4,4,4,4,1,1,4,4,3,3,4,4,3,4,1,1,1,1,2,2,2,2,4,4,4,2,1,3,3,3,1,1,1,1,3,3,4,1,1,1,1,1,2,2,1,3,3,3,3,3,3,3,3,4,1,1,2,2,4,4,3,1,1,1,4,1,3,3,2,2,3,3,1,1,4,4,1,4,3,1,2,2,4,4,1,1,1,3,2,4,2,2,3,3,1,1,4,2,3,4,2,1,2,2,2,2,1,1,4,4,3,3,1,1,3,3,1,1,1,1,3,3,4,4,2,4,1,1,3,3,2,2,2,2,3,3,3,3,3,3,1,1
"123","M074091","M748","4F","AB071014DC022","DC",152,12,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074091_M748_4F",4,4,3,3,6,6,3,1,4,1,2,2,2,2,1,3,1,1,3,3,1,1,2,2,1,4,1,4,1,1,1,1,1,1,2,1,1,1,4,4,2,2,2,1,2,4,4,4,1,1,3,1,2,4,4,4,1,1,4,4,3,3,4,4,3,4,1,1,1,1,2,2,2,2,4,4,4,2,3,3,3,3,1,1,1,1,3,3,4,1,1,1,1,1,2,2,1,1,3,3,3,3,3,3,3,4,3,1,2,2,4,4,3,1,1,1,1,1,3,3,2,2,3,1,1,1,4,4,1,1,3,1,2,2,4,4,1,1,1,3,2,4,2,2,1,3,1,1,4,2,4,4,2,1,2,1,2,2,1,1,4,4,1,3,1,1,3,3,1,1,1,1,3,3,4,1,4,4,1,3,3,3,2,2,2,2,3,3,3,3,3,3,1,1
"124","M074092","M748","4G","AB071014DC023","DC",152,12,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074092_M748_4G",4,4,3,3,6,6,3,1,4,1,2,2,2,3,1,3,2,2,2,3,1,1,2,2,4,4,1,4,1,3,1,1,1,1,2,1,1,1,4,4,2,2,2,1,2,4,1,4,1,1,3,3,2,4,4,4,1,1,4,4,3,3,4,4,3,4,1,1,1,1,2,2,2,2,4,4,2,2,1,3,3,3,1,1,1,1,3,3,4,1,1,1,1,1,2,2,1,1,3,3,3,3,3,3,3,4,1,1,2,2,4,4,3,1,1,1,1,1,3,3,2,2,3,1,1,1,4,4,4,4,3,1,2,2,4,4,1,1,1,3,2,4,2,2,3,3,1,1,4,2,4,4,2,1,2,1,2,2,1,1,4,4,3,3,1,1,3,3,1,1,1,1,3,3,4,1,4,4,1,1,3,3,2,2,2,2,3,3,3,3,3,3,1,3
"125","M074093","M748","4H","AB071014DC024","DC",152,12,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074093_M748_4H",4,4,3,3,6,6,1,1,4,4,2,2,2,2,1,3,2,1,3,3,1,1,2,2,4,4,1,4,1,3,3,1,1,1,2,1,1,1,4,4,2,2,1,1,4,4,4,4,1,1,0,0,4,4,4,4,1,1,4,4,3,3,4,4,4,4,1,1,1,1,2,1,2,2,4,1,4,2,1,3,3,3,1,1,1,3,3,3,4,1,1,1,3,3,2,2,1,1,3,3,3,3,3,3,3,4,3,3,2,2,4,4,1,1,1,1,1,1,3,3,2,2,3,3,1,1,4,4,4,4,3,1,2,2,4,4,1,1,1,3,2,2,2,2,1,3,1,1,4,2,4,4,2,1,1,1,2,2,1,1,4,4,1,3,1,1,3,3,1,1,1,1,3,3,4,1,2,4,1,3,3,3,2,4,2,2,3,3,3,3,1,3,3,3
"126","M074094","M748","5A","AB071014DC025","DC",114,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074094_M748_5A",2,4,3,3,7,6,1,1,4,1,2,2,2,2,3,3,1,1,3,3,1,1,2,2,1,4,4,4,1,1,3,1,1,1,2,2,3,1,4,4,2,2,1,1,2,2,4,4,1,1,1,1,4,4,4,1,1,1,4,4,3,3,2,4,3,4,1,3,1,1,2,2,2,2,4,1,4,2,1,1,3,1,1,1,1,3,3,3,4,4,1,1,1,3,2,1,1,1,3,3,3,1,3,1,3,4,3,3,2,2,4,4,3,1,1,1,1,1,3,3,2,2,3,1,1,1,4,4,1,4,3,1,2,2,4,4,2,2,3,3,2,2,2,2,1,1,1,1,4,2,3,3,2,2,2,2,2,2,1,1,4,4,1,3,1,1,2,3,1,1,1,3,1,3,4,4,4,4,1,3,2,3,2,2,2,1,3,3,3,3,1,3,1,1
"127","M074095","M748","5B","AB071014DC026","DC",114,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074095_M748_5B",4,4,3,3,7,6,1,1,4,4,2,2,2,3,1,3,2,2,2,3,1,1,2,2,4,4,1,1,1,3,3,1,1,1,1,1,1,1,4,4,4,2,2,1,2,4,4,4,1,1,1,1,2,4,4,4,1,1,4,4,3,3,4,4,3,3,1,1,1,1,2,1,2,1,1,1,4,2,3,3,3,3,1,1,1,3,3,3,4,4,1,1,1,1,2,2,3,3,1,3,3,1,3,1,3,3,1,1,2,1,4,4,1,1,1,1,1,1,3,3,2,2,3,3,1,1,4,4,4,4,3,1,2,2,4,4,2,1,3,3,2,2,2,2,1,1,1,1,4,2,3,4,1,1,2,1,2,4,1,1,4,2,1,1,1,4,3,3,1,1,1,3,1,3,4,4,2,2,3,3,3,3,4,4,2,1,3,3,3,3,1,3,3,3
"128","M074096","M748","5C","AB071014DC027","DC",152,12,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074096_M748_5C",4,4,3,3,6,6,1,1,4,1,2,2,2,2,1,1,2,1,2,3,1,1,2,2,1,4,1,1,1,3,3,3,1,1,1,1,3,1,3,3,2,2,2,1,2,4,1,4,1,1,1,1,2,2,1,1,3,1,4,4,3,3,2,4,3,3,1,1,1,1,2,2,2,2,4,4,4,2,3,3,3,3,1,1,1,3,3,3,4,4,1,1,1,3,2,2,1,3,1,1,3,1,3,3,3,3,3,1,2,2,4,4,3,1,1,1,4,1,3,3,2,2,3,1,1,1,4,4,4,4,1,1,2,2,4,4,2,1,3,3,2,2,2,2,1,3,1,1,4,2,4,4,2,2,2,2,2,2,1,1,4,2,3,3,1,1,3,3,1,1,1,3,3,3,4,4,2,4,3,3,2,3,2,2,2,2,3,3,3,3,3,3,0,0
"129","M074097","M748","5D","AB071014DC028","DC",38,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074097_M748_5D",4,4,3,3,7,6,3,1,4,1,2,1,2,2,1,1,2,1,3,3,1,1,2,2,1,4,1,1,1,3,3,1,3,3,2,1,3,3,4,4,4,2,1,1,2,4,4,4,1,1,1,1,4,4,4,1,3,3,4,4,3,3,4,4,3,3,1,1,1,1,2,2,2,2,4,1,2,2,3,3,3,1,1,1,1,3,3,3,4,1,1,1,3,3,2,2,1,1,3,3,1,1,3,3,4,4,3,3,2,2,1,1,1,1,1,1,1,1,3,3,2,2,3,1,1,1,4,4,1,4,1,1,2,2,4,4,1,1,1,3,2,2,2,1,1,1,1,1,4,4,3,4,2,1,2,2,2,2,1,1,4,4,1,3,1,1,3,3,1,1,1,1,1,3,4,4,2,4,1,3,3,3,2,4,2,1,3,3,3,3,1,3,3,3
"130","M074098","M748","5E","AB071014DC029","DC",127,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074098_M748_5E",4,4,3,3,7,6,1,1,4,1,2,2,2,2,1,3,2,2,3,3,1,1,2,2,4,4,1,4,3,3,3,1,1,1,2,1,3,3,3,4,2,2,1,1,2,4,1,4,1,1,1,1,4,4,4,4,1,1,4,4,3,3,2,4,4,4,1,1,1,1,2,1,2,1,1,1,4,4,3,3,3,1,1,1,1,1,3,3,4,1,1,1,1,3,2,2,1,3,1,3,1,1,3,3,3,4,3,3,2,2,4,4,1,1,1,1,1,1,3,3,2,3,3,3,1,1,4,4,1,4,1,1,2,2,4,4,1,1,1,3,2,2,2,2,1,1,1,1,4,4,4,4,1,1,2,2,2,2,1,1,4,2,3,3,1,4,3,3,1,1,1,3,3,3,4,4,2,4,1,3,3,3,4,4,1,1,3,3,3,3,1,3,3,3
"131","M074099","M748","5F","AB071014DC031","DC",127,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074099_M748_5F",4,4,3,3,7,6,3,3,4,1,2,2,2,2,1,3,2,1,3,3,1,1,2,2,4,4,1,4,3,3,3,1,1,1,2,2,1,1,4,4,2,2,1,1,4,4,4,4,1,1,3,1,2,4,4,4,1,1,4,4,3,3,4,4,4,4,1,1,1,1,2,2,2,2,4,1,2,2,1,3,3,3,1,1,1,1,3,3,4,1,1,1,3,3,2,2,1,1,3,3,3,1,3,3,4,4,3,1,2,2,4,4,1,1,1,1,1,1,0,0,2,3,3,3,1,1,4,4,1,4,3,3,2,2,4,4,1,1,1,3,2,2,2,2,1,3,1,1,4,2,4,4,2,1,2,1,2,2,1,1,4,2,1,1,1,1,3,3,1,1,1,1,3,3,4,4,2,2,1,1,3,3,2,4,2,1,3,3,3,3,3,3,3,3
"132","M074100","M748","5G","AB071014DC032","DC",127,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074100_M748_5G",4,4,3,3,7,6,3,1,4,4,2,2,2,2,1,3,2,2,3,3,1,1,2,2,4,4,1,1,3,3,3,1,1,1,2,1,3,1,4,4,4,2,2,1,4,4,4,4,1,1,3,3,4,4,4,4,1,1,4,4,3,3,2,4,3,4,1,1,1,1,2,1,2,2,4,1,4,4,3,3,3,1,1,1,1,3,3,3,4,1,1,1,1,3,2,2,3,3,1,3,3,1,3,3,3,3,3,1,2,2,4,4,1,1,1,1,1,1,3,3,2,2,3,3,4,1,4,4,4,4,1,1,2,2,4,4,2,1,3,3,2,2,2,2,1,3,1,1,4,2,4,4,2,2,2,1,2,2,1,1,4,2,1,3,1,4,3,3,1,1,3,3,3,3,4,4,2,4,3,3,3,3,2,4,2,2,3,3,3,3,1,3,3,3
"133","M074101","M748","5H","AB071014DC033","DC",114,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074101_M748_5H",4,4,3,3,7,6,1,1,4,1,2,2,2,2,1,3,2,1,3,3,1,1,2,2,4,4,1,4,1,3,3,1,1,1,2,2,3,1,3,3,2,2,2,1,2,2,1,4,1,1,3,1,4,4,4,1,1,1,4,4,3,3,2,4,4,4,1,1,1,1,2,2,2,2,4,1,4,4,3,3,3,1,1,1,1,3,3,3,4,4,1,1,3,3,2,2,1,1,1,3,3,1,3,1,3,3,3,3,2,2,4,4,1,1,1,1,1,1,3,3,2,2,3,1,1,1,2,4,4,4,3,1,2,2,4,4,1,1,1,3,2,2,2,2,1,1,3,1,4,2,4,4,2,1,2,1,2,2,1,1,4,2,1,1,1,1,3,3,1,1,1,3,1,3,4,4,2,4,3,3,3,3,4,4,2,2,3,3,3,3,1,3,0,0
"134","M074102","M748","6A","AB071014DC034","DC",127,12,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074102_M748_6A",0,0,3,3,6,6,3,1,1,1,2,2,2,3,1,3,2,1,3,3,1,1,2,2,4,4,1,4,3,3,3,1,1,1,2,2,1,1,4,4,2,2,1,1,2,2,4,4,1,1,1,1,4,4,4,1,1,1,3,4,3,3,4,4,3,4,1,1,1,1,2,2,1,1,4,4,4,2,1,3,3,1,1,1,1,3,3,3,4,1,1,1,3,3,2,2,3,3,1,3,1,1,3,1,3,3,3,3,2,2,4,4,3,1,2,1,1,1,3,3,2,2,3,1,1,1,4,4,1,4,1,1,2,2,2,4,1,1,3,3,2,2,2,2,3,3,1,1,4,2,3,4,2,2,2,1,2,2,1,1,2,2,3,3,1,1,3,3,1,1,1,1,3,3,4,4,2,4,1,3,3,3,4,4,2,2,3,3,3,3,1,3,3,3
"135","M074103","M748","6B","AB071014DC035","DC",152,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074103_M748_6B",4,4,3,3,7,6,1,1,4,1,2,2,2,3,1,1,2,1,2,3,1,1,2,2,1,4,1,4,1,1,3,1,1,1,2,1,1,1,4,4,2,2,2,2,2,2,1,1,1,1,1,1,4,4,4,1,1,1,4,4,3,3,4,4,3,3,1,1,1,1,2,2,2,2,4,1,4,4,3,3,3,1,1,1,1,3,3,3,4,4,1,1,1,3,2,2,1,3,1,3,3,3,3,3,3,3,3,1,2,2,4,4,3,1,1,1,4,1,3,3,2,2,1,1,1,1,4,4,1,4,1,1,2,2,4,4,2,1,1,3,4,4,2,2,1,3,1,1,4,4,4,4,2,1,2,2,2,2,1,1,4,2,1,3,1,1,3,3,1,1,1,3,3,3,4,4,2,4,1,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3
"136","M074104","M748","6C","AB071014DC036","DC",178,13,"7/10/14",NA,"EC","9/22/14","American River","Middle Fork American River","Duncan Creek","US of PCWA diversion",NA,"","M074104_M748_6C",4,4,3,3,7,6,1,1,4,4,2,2,2,3,1,3,2,1,2,3,1,1,2,2,4,4,1,4,1,3,3,1,1,1,2,2,3,1,4,4,2,2,1,1,2,4,4,4,1,1,1,1,2,4,4,4,1,1,4,4,3,3,2,4,3,4,1,1,1,1,2,2,2,2,4,4,2,2,1,3,3,1,4,1,3,3,3,3,4,1,1,1,1,3,2,2,3,3,1,3,1,1,3,3,3,3,3,3,2,2,4,4,1,1,1,1,1,1,3,3,2,2,3,1,1,1,4,4,4,4,1,1,2,1,4,4,2,1,1,3,2,4,2,2,1,3,1,1,4,4,4,4,2,1,2,2,2,2,1,1,4,2,1,3,1,1,3,3,1,1,1,1,3,3,4,4,2,4,1,3,3,3,2,2,2,1,3,3,3,3,1,1,1,1
"137","M074105","M748","6D","DO071014FM001","FM",215,12,"7/10/14",NA,"EC","9/22/14","American River","","Middle Fork American River","Below French Meadows",NA,"Above Natural Historical Barrier","M074105_M748_6D",4,4,3,3,6,6,1,1,4,4,2,2,2,2,1,1,1,1,2,3,1,1,2,2,1,4,1,1,1,3,1,1,3,1,2,2,3,3,3,4,2,2,2,1,4,4,4,4,1,1,1,1,2,4,1,1,1,1,3,3,3,3,4,4,3,3,1,1,2,1,1,1,2,2,4,4,4,2,1,1,3,3,1,1,1,3,3,3,1,1,1,1,1,3,2,2,1,3,3,3,3,1,3,3,3,4,3,1,2,2,4,4,3,1,2,2,1,1,3,3,2,2,3,1,1,1,2,4,1,4,3,3,2,2,4,4,1,1,1,3,2,2,1,1,1,3,1,1,4,2,4,4,2,2,2,2,2,2,2,1,2,2,1,1,1,1,3,3,1,1,1,3,1,3,4,4,2,4,3,3,3,3,2,2,1,1,3,3,3,3,1,3,3,3
"138","M074106","M748","6E","DO071014FM002","FM",100,13,"7/10/14",NA,"EC","9/22/14","American River","","Middle Fork American River","Below French Meadows",NA,"Above Natural Historical Barrier","M074106_M748_6E",4,4,3,3,7,6,1,1,4,4,2,2,2,2,1,1,2,2,2,3,1,1,2,1,4,4,1,4,3,3,1,1,1,1,2,2,1,1,4,4,2,2,2,1,2,4,4,4,1,1,0,0,2,2,4,1,3,1,3,4,3,3,4,4,3,3,1,1,2,1,2,2,2,1,4,1,2,2,1,3,3,3,4,4,1,1,3,3,4,1,1,1,3,3,2,2,3,3,3,3,1,1,3,3,3,3,3,3,2,2,4,4,3,3,2,1,1,1,3,3,2,2,3,3,4,1,4,4,4,4,1,1,1,1,4,4,1,1,3,3,4,4,2,2,1,1,1,1,2,2,4,4,2,2,2,2,2,4,1,1,2,2,1,1,4,4,3,3,1,1,3,3,3,3,4,4,4,4,1,1,2,3,2,2,2,2,3,3,3,3,3,3,3,3
"139","M074107","M748","6F","DO071014FM003","FM",172,12,"7/10/14",NA,"EC","9/22/14","American River","","Middle Fork American River","Below French Meadows",NA,"Above Natural Historical Barrier","M074107_M748_6F",4,4,3,3,6,6,1,1,4,4,2,2,2,2,1,1,2,1,2,3,1,1,2,1,4,4,1,4,3,3,1,1,1,1,2,1,1,1,4,4,4,2,2,1,2,4,4,4,1,1,0,0,2,2,4,1,3,1,3,3,3,3,4,4,3,4,1,1,2,1,2,2,2,2,4,1,2,2,1,3,3,3,4,1,1,3,3,3,4,1,1,1,3,3,2,2,3,3,3,3,1,1,3,3,3,3,3,3,2,1,4,1,3,3,2,2,1,1,3,3,2,3,3,3,1,1,4,4,4,4,1,1,2,1,4,4,1,1,3,3,4,4,2,2,1,1,1,1,2,2,4,4,2,2,2,2,2,4,1,1,2,2,1,1,4,4,3,3,1,1,1,3,3,3,4,1,2,4,1,3,3,3,2,2,2,2,3,3,3,3,1,3,1,3
"140","M074108","M748","6G","DO071014FM004","FM",194,13,"7/10/14",NA,"EC","9/22/14","American River","","Middle Fork American River","Below French Meadows",NA,"Above Natural Historical Barrier","M074108_M748_6G",2,4,3,3,7,6,1,1,4,4,2,2,2,2,1,3,2,1,2,3,1,1,2,2,4,4,1,4,1,3,1,1,3,1,2,2,3,1,3,3,2,2,2,1,4,4,4,4,1,1,1,1,2,2,4,4,3,1,3,3,3,3,2,4,4,4,1,3,2,1,2,1,2,2,4,1,2,2,1,1,3,3,1,1,1,3,3,3,1,1,1,1,3,3,2,1,3,3,3,3,1,1,3,3,3,4,3,1,2,1,4,4,3,3,2,1,1,1,3,3,3,3,1,1,1,1,4,4,1,4,1,1,2,1,2,4,1,1,1,3,2,4,2,2,3,3,1,1,4,2,4,4,2,2,2,1,2,4,1,1,2,2,1,1,1,1,3,3,1,3,3,3,1,1,4,1,2,4,1,3,3,3,2,4,1,1,3,3,3,3,3,3,3,3
"141","M074109","M748","6H","DO071014FM005","FM",150,13,"7/10/14",NA,"EC","9/22/14","American River","","Middle Fork American River","Below French Meadows",NA,"Above Natural Historical Barrier","M074109_M748_6H",0,0,3,3,7,6,1,1,4,4,2,2,2,2,1,3,2,1,2,3,1,4,2,2,4,4,1,4,0,0,1,1,3,1,2,2,3,1,3,3,2,2,2,1,2,4,4,4,1,1,1,1,2,2,4,4,3,1,3,3,3,3,4,4,4,4,0,0,2,1,0,0,2,2,4,1,2,2,1,1,3,3,1,1,1,3,3,3,1,1,1,1,3,3,0,0,3,3,3,3,1,1,3,3,0,0,0,0,2,1,4,4,3,1,0,0,1,1,3,3,2,3,1,1,1,1,4,4,0,0,3,1,2,1,2,4,1,1,1,3,2,4,2,2,1,3,1,1,0,0,4,4,2,2,0,0,0,0,0,0,4,2,1,1,1,1,3,3,1,3,3,3,1,3,4,1,0,0,1,3,3,3,2,4,1,1,3,3,3,3,3,3,3,3
